File Name:,G:\PUM\DATA\MicroPEM_010318_160408raw.csv
Download Date:,01/03/2018
Total Download Time (s):,3.3

Device Serial #:,RTI321177N
Date/Time Hardware:,5/24/2016
Date/Time Software:,1/27/2017,v2.0.6236.20371
Participant ID#:,
Filter ID#:,S000000
Participant Weight (kg),NA
Inlet Aerosol Size:,PM2.5
Laser Cycling Variables:Delay - Sampling time - Off time,1,1,8
System Times,No cycling - Always On
Sensor,Slope,Offset,Log Interval,High Target (ref only),Low target (ref only)
Nephelometer,3.0000,87,10
Temperature,1.0000,53,30
Humidity,1.0000,-8,10
Inlet Pressure,4095.0000,0,30,1920,1408
Orifice Pressure,4095.0000,0,30,1920,1408
Flow,,,30,900,200,0.5
Accelerometer,,,30
Battery,,,60
Ventilation,NA,NA

Date,Time,RH-Corrected Nephelometer,RH-Corrected Nephelometer HR,Temp,RH,Battery,Inlet Press,Orifice Press,Flow,X-axis,Y-axis,Z-axis,Vector Sum Composite,ShutDownReason,Wearing Compliance,ValidityWearingCompliance validation
Date,Time,μg/m³,μg/m³,C,%,V,in H2O,in H2O,Lpm,g-unit,g-unit,g-unit,g-unit,,0=valid, 1=questionable, 2=invalid,0=valid, 1=questionable, 2=invalid

5/24/2016,09:30:20,75.162,76.607,,32.0,,,,,,,,,,,
5/24/2016,09:30:30,49.212,50.660,,31.5,,,,,1.00,0.00,0.02,1.00,,,
5/24/2016,09:30:40,20.274,23.171,22.8,31.3,,1.95,0.82,0.50,,,,,,,
5/24/2016,09:30:50,28.908,30.354,,32.0,,,,,,,,,,,
5/24/2016,09:31:00,40.847,42.305,,28.4,,,,,1.00,0.00,0.01,1.00,,,
5/24/2016,09:31:10,52.118,53.566,23.0,31.5,4.9,1.94,0.80,0.50,,,,,,,
5/24/2016,09:31:20,28.927,30.373,,31.8,,,,,,,,,,,
5/24/2016,09:31:30,20.234,21.679,,32.1,,,,,1.00,0.00,0.02,1.00,,,
5/24/2016,09:31:40,28.951,30.399,22.8,31.5,,1.95,0.80,0.50,,,,,,,
5/24/2016,09:31:50,46.258,46.258,,32.0,,,,,,,,,,,
5/24/2016,09:32:00,20.293,21.743,,31.0,,,,,1.00,0.00,0.01,1.00,,,
5/24/2016,09:32:10,17.414,18.865,22.9,30.6,4.8,1.95,0.81,0.50,,,,,,,
5/24/2016,09:32:20,23.218,24.669,,30.6,,,,,,,,,,,
5/24/2016,09:32:30,17.424,20.328,,30.4,,,,,1.00,0.00,0.02,1.00,,,
5/24/2016,09:32:40,17.431,17.431,22.8,30.2,,1.95,0.81,0.50,,,,,,,
5/24/2016,09:32:50,20.336,21.788,,30.2,,,,,,,,,,,
5/24/2016,09:33:00,46.509,46.509,,30.0,,,,,1.00,0.00,0.01,1.00,,,
5/24/2016,09:33:10,60.867,62.316,22.8,31.1,4.9,1.96,0.81,0.50,,,,,,,
5/24/2016,09:33:20,40.476,41.922,,32.0,,,,,,,,,,,
5/24/2016,09:33:30,26.083,28.981,,31.1,,,,,1.00,0.00,0.01,1.00,,,
5/24/2016,09:33:40,37.641,37.641,22.8,31.5,,1.95,0.82,0.50,,,,,,,
5/24/2016,09:33:50,31.866,31.866,,31.3,,,,,,,,,,,
5/24/2016,09:34:00,31.863,34.760,,31.3,,,,,1.00,0.00,0.02,1.00,,,
5/24/2016,09:34:10,46.351,46.351,22.8,31.3,4.8,1.94,0.81,0.50,,,,,,,
5/24/2016,09:34:20,34.824,34.824,,30.6,,,,,,,,,,,
5/24/2016,09:34:30,31.931,33.383,,30.5,,,,,1.00,0.00,0.02,1.00,,,
5/24/2016,09:34:40,37.748,37.748,22.8,30.4,,1.95,0.81,0.50,,,,,,,
5/24/2016,09:34:50,43.534,43.534,,30.6,,,,,,,,,,,
5/24/2016,09:35:00,34.756,37.652,,31.3,,,,,1.00,0.00,0.02,1.00,,,
5/24/2016,09:35:10,26.123,26.123,22.8,30.5,4.8,1.95,0.81,0.50,,,,,,,
5/24/2016,09:35:20,52.193,53.643,,30.9,,,,,,,,,,,
5/24/2016,09:35:30,20.289,20.289,,31.1,,,,,1.00,0.00,0.02,1.00,,,
5/24/2016,09:35:40,60.804,60.804,22.8,31.5,,1.94,0.81,0.50,,,,,,,
5/24/2016,09:35:50,49.003,49.003,,33.0,,,,,,,,,,,
5/24/2016,09:36:00,20.169,23.050,,33.2,,,,,1.00,0.00,0.01,1.00,,,
5/24/2016,09:36:10,31.743,33.186,22.9,32.7,4.8,1.95,0.81,0.50,,,,,,,
5/24/2016,09:36:20,34.679,37.569,,32.2,,,,,,,,,,,
5/24/2016,09:36:30,37.560,39.005,,32.2,,,,,1.00,0.00,0.02,1.00,,,
